path,program_type,format,structural_status,sample_references,simulation_scope,semantic_verdict,semantic_issues,hardware_status,favorite,scratchpad_role,notes
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/French Horn.xpm,Keygroup,gzip-json,pass,39,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Muted Trumpet Phaser.xpm,Keygroup,gzip-json,pass,39,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Muted Trumpet.xpm,Keygroup,gzip-json,pass,39,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Oboe.xpm,Keygroup,gzip-json,pass,37,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Saxophone Filter.xpm,Keygroup,gzip-json,pass,48,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Saxophone.xpm,Keygroup,gzip-json,pass,48,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Trombone.xpm,Keygroup,gzip-json,pass,42,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Brass & Woodwind/Trumpet.xpm,Keygroup,gzip-json,pass,36,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Guitars/Electric Guitar.xpm,Keygroup,gzip-json,pass,42,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Guitars/Jazz Guitar Vibrato.xpm,Keygroup,gzip-json,pass,53,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Guitars/Jazz Guitar.xpm,Keygroup,gzip-json,pass,53,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Guitars/Nylon Guitar Vibrato.xpm,Keygroup,gzip-json,pass,45,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Guitars/Nylon Guitar.xpm,Keygroup,gzip-json,pass,45,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Keys/Clav Phaser.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Keys/Clav.xpm,Keygroup,gzip-json,pass,49,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Keys/E Piano Tremolo.xpm,Keygroup,gzip-json,pass,51,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Keys/E Piano Vibrato.xpm,Keygroup,gzip-json,pass,53,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Keys/E Piano.xpm,Keygroup,gzip-json,pass,53,production,pass,,pass,no,candidate:keys,"Works as expected across the Key 37, but its sound does not merit a place in the favorite Scratchpad lineup."
Programs/Keygroups/Samples From Mars/360 From Mars/Perc/Mallet Multi Filter.xpm,Keygroup,gzip-json,pass,159,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Perc/Timpani Echo.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Perc/Timpani.xpm,Keygroup,gzip-json,pass,17,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Perc/Vibes Vibrato.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Perc/Vibes.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Stacks/Stack - E Piano E Bass.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Stacks/Stack - Nylon Guitar E Bass.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Strings/Cello.xpm,Keygroup,gzip-json,pass,26,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Strings/Strings Chorus.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Strings/Strings Filter.xpm,Keygroup,gzip-json,pass,54,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/360 From Mars/Strings/Strings.xpm,Keygroup,gzip-json,pass,53,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD SP1200 B Long.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD SP1200 B Short.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD Tape Tuned 1.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD Tape Tuned 2.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD Tape Tuned 3.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD Tape Tuned 4.xpm,Keygroup,gzip-json,pass,12,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD Tape Tuned Filt1.xpm,Keygroup,gzip-json,pass,16,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/BD Tape Tuned Filt2.xpm,Keygroup,gzip-json,pass,16,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/Conga Clean.xpm,Keygroup,gzip-json,pass,16,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/Conga Re-Pitched.xpm,Keygroup,gzip-json,pass,8,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/Conga Tape.xpm,Keygroup,gzip-json,pass,16,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/Toms Clean.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/Toms Saturated.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/808 From Mars - Legacy/Toms Tape.xpm,Keygroup,gzip-json,pass,13,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Acid From Mars/Synths/Echo Square.xpm,Keygroup,gzip-json,pass,37,production,pass,,pass,provisional,candidate:bass,"Plays successfully on the Key 37 and is strongly liked as an additional bass option."
Programs/Keygroups/Samples From Mars/Acid From Mars/Synths/Moving Saw Poly.xpm,Keygroup,gzip-json,pass,37,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Acid From Mars/Synths/Square.xpm,Keygroup,gzip-json,pass,37,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Acid From Mars/Synths/Sticatto Poly Saw.xpm,Keygroup,gzip-json,pass,37,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Arp Omni From Mars/Strings/Double Octave Saturated.xpm,Keygroup,gzip-json,pass,20,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Arp Omni From Mars/Strings/Long & Saturated.xpm,Keygroup,gzip-json,pass,20,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Arp Omni From Mars/Strings/Long.xpm,Keygroup,gzip-json,pass,20,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Arp Omni From Mars/Strings/Open Double Octave.xpm,Keygroup,gzip-json,pass,20,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Arp Omni From Mars/Strings/Open Filter Saturated.xpm,Keygroup,gzip-json,pass,25,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/Arp Omni From Mars/Strings/Short & Funky Saturated.xpm,Keygroup,gzip-json,pass,20,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Alarm Call FX.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Box Cello.xpm,Keygroup,gzip-json,pass,80,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Breath V.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Chirping Birds FX.xpm,Keygroup,gzip-json,pass,60,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Clean Sine.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/David Lynch.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Digi Pianet.xpm,Keygroup,gzip-json,pass,192,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Dream Like.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Easy Clav.xpm,Keygroup,gzip-json,pass,192,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Electric Acoustic.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Electric Bass.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/FM Bell FX.xpm,Keygroup,gzip-json,pass,72,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/FM Sawtooth.xpm,Keygroup,gzip-json,pass,92,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/FM Square Distorted.xpm,Keygroup,gzip-json,pass,170,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/DX100 From Mars/Filth Rocket FX.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
